AlGaN,xbarrier,lsg,lg,lgd,Recess,Vth,ss,ss_at,i_on,i_off
0.01,0.15,0.75,1.50,10.00, 5.00,-0.8802591712791691,93.16576858495924,-0.95,0.05059044420526325,2.9763053263157887e-12
0.01,0.15,0.75,1.50,10.00, 8.00,0.3881519248594353,106.8697426156842,0.10150364,0.04909611500318737,6.600172448922779e-12
0.01,0.15,0.75,1.50,4.00, 1.00,-2.024785730989034,88.70302555422337,-1.9486875,0.08723828690526315,8.521961050739208e-12
0.01,0.15,0.75,1.50,4.00, 10.00,1.1089058563375747,103.37367137786822,0.92122414,0.05477355010823441,3.949995190807939e-12
0.01,0.15,0.75,1.50,4.00, 3.00,-1.5173162411155947,92.30453617258716,-1.6625,0.08676261531933474,3.841353150696829e-12
0.01,0.15,0.75,1.50,4.00, 5.00,-0.9363248237176328,95.33039878153595,-0.9986875,0.08585254153884253,7.28033670403538e-12
0.01,0.15,0.75,1.50,4.00, 8.00,0.36164323689727873,105.19439392713606,0.19582536,0.08154597843149629,-2.0472027914148423e-13
0.01,0.15,0.75,1.50,7.00, 1.00,-1.9954656152611794,92.52723181920771,-1.9,0.06441891096205474,4.35205460526316e-12
0.01,0.15,0.75,1.50,7.00, 10.00,1.107308436620975,110.94794649889924,1.1915228999999998,0.04538072148759418,2.133573484210529e-12
0.01,0.15,0.75,1.50,7.00, 3.00,-1.4860364069697947,92.78541157998349,-1.425,0.06415809004418863,4.737865621052629e-12
0.01,0.15,0.75,1.50,7.00, 5.00,-0.9008501678308529,93.80214878147301,-0.95,0.06368027960206088,1.4678611421052622e-12
0.01,0.15,0.75,1.50,7.00, 8.00,0.36801556532674207,109.09938337896048,0.25463375,0.061307421743489104,6.681072724551324e-12
0.01,0.15,0.75,1.80,10.00, 1.00,-1.9661212029809192,88.9020502739384,-1.9472744,0.0504702985885019,1.8632127291520707e-13
0.01,0.15,0.75,1.80,10.00, 10.00,1.1183889658654347,109.7231966502209,1.2727016000000002,0.0364992973932418,2.905056758525383e-12
0.01,0.15,0.75,1.80,10.00, 3.00,-1.4544017094768253,91.73855496507792,-1.425,0.05027745482632,1.0283975932894724e-12
0.01,0.15,0.75,1.80,10.00, 5.00,-0.8699483930306308,94.60965557169517,-0.95514829,0.049917702500380766,-1.6502172445120008e-12
0.01,0.15,0.75,1.80,10.00, 8.00,0.391230740074823,107.06451256328334,0.19068671,0.048175965678009955,3.6527650490424e-12
